rank,name,symbol,market_cap,price,circulating_supply,volume(24h),%1h,%24h,%7d,image_url
169,Safe,SAFE,"$233,416,141",$0.4425,"527,419,089 SAFE *","$24,613,803",-0.27%,0.46%,9.57%,https://s2.coinmarketcap.com/static/img/coins/32x32/21585.png
170,Oasis,ROSE,"$232,561,729",$0.03292,"7,064,132,681 ROSE *","$11,875,135",0.24%,1.93%,5.43%,https://s2.coinmarketcap.com/static/img/coins/32x32/7653.png
171,Vana,VANA,"$229,782,742",$7.63,"30,084,000 VANA *","$204,380,740",-1.38%,-4.45%,20.29%,https://s2.coinmarketcap.com/static/img/coins/32x32/34619.png
172,Peanut the Squirrel,PNUT,"$227,571,719",$0.2276,"999,853,011 PNUT *","$299,545,984",1.65%,22.00%,24.42%,https://s2.coinmarketcap.com/static/img/coins/32x32/33788.png
173,Qtum,QTUM,"$227,102,345",$2.15,"105,572,465 QTUM *","$39,151,824",0.07%,0.16%,1.14%,https://s2.coinmarketcap.com/static/img/coins/32x32/1684.png
174,Basic Attention Token,BAT,"$222,474,822",$0.1487,"1,495,668,357 BAT *","$10,783,740",-0.03%,-1.09%,3.37%,https://s2.coinmarketcap.com/static/img/coins/32x32/1697.png
175,0x Protocol,ZRX,"$221,867,890",$0.2615,"848,396,563 ZRX *","$26,067,011",0.11%,-1.18%,6.81%,https://s2.coinmarketcap.com/static/img/coins/32x32/1896.png
176,WEMIX,WEMIX,"$221,864,211",$0.5298,"418,726,569 WEMIX *","$1,525,729",-0.45%,-2.52%,-8.74%,https://s2.coinmarketcap.com/static/img/coins/32x32/7548.png
177,Baby Doge Coin,BabyDoge,"$220,631,450",$0.081347,"163,712,271,993,194,600 BabyDoge *","$17,688,215",0.10%,0.39%,11.47%,https://s2.coinmarketcap.com/static/img/coins/32x32/10407.png
178,Mask Network,MASK,"$219,163,116",$2.19,"100,000,000 MASK *","$27,892,935",0.11%,1.05%,1.17%,https://s2.coinmarketcap.com/static/img/coins/32x32/8536.png
179,ZetaChain,ZETA,"$217,841,613",$0.2977,"731,645,833 ZETA *","$565,965,386",0.25%,5.81%,43.46%,https://s2.coinmarketcap.com/static/img/coins/32x32/21259.png
180,ai16z,AI16Z,"$215,561,421",$0.1959,"1,099,998,788 AI16Z *","$37,543,015",-0.60%,0.42%,-3.76%,https://s2.coinmarketcap.com/static/img/coins/32x32/34026.png
181,Celo,CELO,"$215,302,524",$0.3808,"565,268,025 CELO *","$17,157,135",-0.33%,2.85%,13.59%,https://s2.coinmarketcap.com/static/img/coins/32x32/5567.png
182,Livepeer,LPT,"$214,499,064",$5.49,"39,066,905 LPT *","$39,995,174",0.17%,0.76%,1.55%,https://s2.coinmarketcap.com/static/img/coins/32x32/3640.png
183,Solayer,LAYER,"$213,774,499",$1.01,"210,000,000 LAYER *","$147,059,823",-1.27%,-13.44%,-14.71%,https://s2.coinmarketcap.com/static/img/coins/32x32/35429.png
184,Osmosis,OSMO,"$212,615,099",$0.2963,"717,424,228 OSMO *","$8,143,678",0.20%,1.54%,2.03%,https://s2.coinmarketcap.com/static/img/coins/32x32/12220.png
